tipe_entitas,nama_entitas,tahun,nilai
"Kontraktor","Santan Batubara, PT",2004,
"Kontraktor","Senamas Energindo Mulia, PT",2004,
"Kontraktor","Singlurus Pratama, PT",2004,
"Kontraktor","Sumber Kurnia Buana, PT",2004,
"Kontraktor","Tanito Harum, PT",2004,
"Kontraktor","Tanjung Alam Jaya, PT",2004,
"Kontraktor","Teguh Sinar Abadi, PT",2004,
"Kontraktor","Trubaindo Coal Mining, PT",2004,
"Kontraktor","Wahana Baratama Mining, PT",2004,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2004,
"Kuasa Pertambangan Swasta","Prov. Jambi",2004,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2004,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2004,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2004,
"Kuasa Pertambangan Swasta","Prov. Riau",2004,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2004,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2004,
"BUMN","Bukit Asam",2005,27820
"BUMN","Bukit Asam - Ombilin",2005,22221
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2005,
"Kontraktor","Adaro Indonesia, PT",2005,835023
"Kontraktor","Allied Indo Coal, PT",2005,
"Kontraktor","Antang Gunung Meratus, PT",2005,
"Kontraktor","Arutmin Indonesia, PT",2005,11904
"Kontraktor","Asmin Koalindo Tuhup, PT",2005,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2005,227891
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2005,
"Kontraktor","Baramarta, PD",2005,
"Kontraktor","Baramulti Suksessarana, PT",2005,2635.16
"Kontraktor","Batualam Selaras, PT",2005,
"Kontraktor","Berau Coal, PT",2005,703
"Kontraktor","Borneo Indobara, PT",2005,
"Kontraktor","Firman Ketaun Perkasa, PT",2005,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2005,118434.66
"Kontraktor","Indominco Mandiri, PT",2005,133215
"Kontraktor","Insani Bara Perkasa, PT",2005,
"Kontraktor","Interex Sacra Raya, PT",2005,
"Kontraktor","Intitirta Primasakti, PT",2005,
"Kontraktor","Jorong Barutama Greston, PT",2005,109713
"Kontraktor","Kadya Caraka Mulia, PT",2005,
"Kontraktor","Kalimantan Energi Lestari, PT",2005,6805
"Kontraktor","Kaltim Prima Coal, PT",2005,46345
"Kontraktor","Kartika Selabumi Mining, PT",2005,
"Kontraktor","Kendilo Coal Indonesia, PT",2005,
"Kontraktor","Kideco Jaya Agung, PT",2005,102256
"Kontraktor","Lanna Harita Indonesia, PT",2005,180238.53
"Kontraktor","Mahakam Sumber Jaya, PT",2005,
"Kontraktor","Mandiri Intiperkasa, PT",2005,36215
"Kontraktor","Mantimin Coal Mining, PT",2005,
"Kontraktor","Marunda Graha Mineral, PT",2005,
"Kontraktor","Multi Harapan Utama, PT",2005,96092
"Kontraktor","Multi Tambangjaya Utama, PT",2005,
"Kontraktor","Nusantara Termal Coal, PT",2005,
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2005,
"Kontraktor","Perkasa Inakakerta, PT",2005,
